Brand,Category,Title,Text,Rating,Date,Source
Seasalt Cornwall,Ethical Fashion,In this hot weather I really needed a…,In this hot weather I really needed a stylish linen shirt to keep me cool -  just loved the colour too. Great quality linen and it arrived very quickly Very happy with my purchase -  Thank You Sea Salt!,5,2026-07-06 16:45:46+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,The jumpsuit is well-made,The jumpsuit is well-made. The fabric is light and cool. I usually get size 10 from Sea Salt and found this quite roomy. There is room to wear a t shirt or vest underneath if required. I'm 5ft 7in and it is just about ankle length on me. The v back gives a feminine touch and the lilac colour is very pretty. Delivery was quick.,5,2026-07-06 16:24:07+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Love the clothes,"Love the clothes, a bit pricey though",5,2026-07-06 16:23:44+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good company to order from all round,Good company to order from all round . Quality and service excellent .,5,2026-07-06 16:23:01+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Excellent site,"Excellent site, good quality garments, good communications.",5,2026-07-06 16:15:44+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Problem processing a return online.,Problem processing a return online. Contacted customer services - person I dealt with was extremely helpful & the issue was sorted quickly & efficiently. Brilliant!,5,2026-07-06 16:11:33+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Beautiful dress unfortunately i had to…,Beautiful dress unfortunately i had to return im 5’ 4 and they were too long however the style and pattern were lovely,5,2026-07-06 16:09:49+00:00,Trustpilot
Rapanui,Ethical Fashion,Incomplete address on first delivery,"Incomplete address on first delivery,  returned to sender,  Incomplete address on second delivery,  returned to sender,  second delivery was exchange for wrong size socks,  now waiting for delivery!",1,2026-07-06 15:53:32+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Easy to order,"Easy to order, delivery quick. The dress is lovely and fits perfectly. I know it will be very useful and worn a lot.",5,2026-07-06 15:53:31+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Easy ordering arrived within 3 days of…,"Easy ordering arrived within 3 days of ordering, sent one item back and was refunded next day, brilliant",5,2026-07-06 15:51:36+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,As always another great service by…,"As always another great service by Seasalt. Parcel arrived on time, was well packed and the customer service ladies are so helpful.",5,2026-07-06 15:46:31+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Quality choices in multiple sizes…,Quality choices in multiple sizes simple to order. Speedy informative delivery. Clothes & fabrics that make you feel fabulous,5,2026-07-06 15:43:16+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good quality clothes and customer…,Good quality clothes and customer service is very good.,5,2026-07-06 15:39:50+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I love the styles and fabrics and know…,I love the styles and fabrics and know I can always find something to suit me.,5,2026-07-06 15:32:58+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Online order,"Ordered some items online, all despatched quickly and received in good order thanks",5,2026-07-06 15:30:15+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,The clothes are good quality,"The clothes are good quality, packaging is green.  Service good.",5,2026-07-06 15:26:44+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Great products and quick delivery,Great products and quick delivery,5,2026-07-06 15:23:34+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Prompt delivery,Prompt delivery. Very easy to wear dress.,5,2026-07-06 15:20:45+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Summer top,Item was value for money. Delivery was a little slower than expected these days compared to other companies.,5,2026-07-06 15:20:42+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Shopping with seasalt us always di…,Shopping with seasalt us always di straight forward. Even tho the item did not suit me returns a refund was seamless - thanks.,5,2026-07-06 15:18:06+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Great Company!,Very quick delivery and communication is very good.,5,2026-07-06 15:16:39+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Efficient customer service,"Ordering online is straightforward. Received order in two batches and had a moment of panic that I hadn't received everyything. Phone call to Seasalt was answered after a few rings - didn't have to go through millions of options - by a cheerful and helpful person in Cornwall who put my mind at ease. I regrettably returned most items due to sizing issues. I feel the quality of the cotton knit dresses is not as good as it has been in the past. Returns process easy, refund quick.",4,2026-07-06 15:09:50+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good quality …,Always good to and exceptionally helpful and friendly!,5,2026-07-06 15:09:27+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,"Easy to,order well informed where my…","Easy to,order well informed where my parcel was delivered on time. Items excellent as. Expected",5,2026-07-06 15:08:38+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Use this company.,The products are always of a high quality material and fit true to size.,5,2026-07-06 15:05:21+00:00,Trustpilot
Boohoo,Fast Fashion,Kai was extremely helpful and put my…,"Kai was extremely helpful and put my mind at rest as my parcel has still not been delivered by the courier and Kai has left me with a resolution which I am extremely happy with. The service/responses were super quick too and they could not have been more helpful, thank you so much!",5,2026-07-06 15:04:43+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Online experience seamless,Online experience seamless.  Product excellent quality. Will definitely reorder in the future.,5,2026-07-06 15:03:42+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Gorgeous jumpsuits.,"Great sale with lots of variety.  Good website and communication, fast delivery and quality clothes.",5,2026-07-06 14:59:58+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good product seamless service,Good product seamless service,5,2026-07-06 14:57:37+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good delivery and great products,Good delivery and great products! Loved both dresses!,5,2026-07-06 14:52:23+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,"Good quality, long lasting garments.",Lovely choice of well made styles. Generally the size I select fits well.,5,2026-07-06 14:52:19+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Very clear website to use,"Very clear website to use, ordering is easy, email communication is good and my purchases always well packaged and delivered on the expected date",5,2026-07-06 14:50:29+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Made an online order,Made an online order. Very pleased sent very quickly and didn’t have to pay postage. Thank you,5,2026-07-06 14:50:22+00:00,Trustpilot
